event_type,n_pos,n_caught,recall_at_10,n_test,k
any,99,24,0.24242424242424243,932,93
ev_store,68,15,0.22058823529411764,932,93
ev_sales,46,11,0.2391304347826087,932,93
ev_contract,72,20,0.2777777777777778,932,93
