stage,n_features,lift_at_10,precision_at_10,pr_auc,roc_auc
lvl,7,2.5,0.20270270270270271,0.17763182574181974,0.7180637254901961
lvl+chg,13,2.1666666666666665,0.17567567567567569,0.18776171774321437,0.7544852941176471
lvl+chg+trd,22,1.8333333333333333,0.14864864864864866,0.1588610421836061,0.734093137254902
lvl+chg+trd+ind+struct,35,2.5,0.20270270270270271,0.18646870272418048,0.7488848039215686
