year,n_brand_years,n_region_pairs,p_region_decline,rho_event,rho_asset
2017,635,35847,0.3696148576647892,0.26839864775781813,0.41770990945275843
2018,689,39059,0.3955213435969209,0.2600793035992818,0.40261365640986896
2019,716,40598,0.4006202804746494,0.3015998722412756,0.46114210311616816
2020,722,41846,0.3693384391918658,0.2568716504357877,0.4010916495697498
2021,805,45855,0.3848546476851298,0.302813127514382,0.4645635656416193
2022,886,47480,0.40362659503022164,0.2442750552585352,0.3788313786225049
2023,890,47678,0.43550902205390957,0.2635398354723275,0.40426102705704553
2024,985,50726,0.4493482500256594,0.2693507921952546,0.41182945569788176
