brand_id,brand_name,industry_major,industry_mid,year,n_stores,deterioration_1y,risk_grade,startup_cost_mkrw,exposure_mkrw,exposure_ekw,exposure_share,is_stressed,det_stressed,startup_total,deterioration_rank_pct,el_lgd30_mkrw,stress_el_lgd30_mkrw,el_lgd45_mkrw,stress_el_lgd45_mkrw,el_lgd60_mkrw,stress_el_lgd60_mkrw,exposure_basis,exposure_is_synthetic
BRD_20090100502,빽다방,외식,커피,2023,1449.0,0.013699466450603907,Low,76.872,10024.87752,100.2487752,0.14385447465321863,False,0.013699466450603907,76872.0,0.043243243243243246,41.20064197699599,41.20064197699599,61.80096296549399,61.80096296549399,82.40128395399198,82.40128395399198,disclosed_startup_cost,False
BRD_20080200030,굽네치킨,외식,치킨,2023,1118.0,0.00030029986244841815,Low,92.455,9302.8221,93.02822099999999,0.13349316072121467,False,0.00030029986244841815,92455.0,0.01756756756756757,0.8380908591036312,0.8380908591036312,1.257136288655447,1.257136288655447,1.6761817182072625,1.6761817182072625,disclosed_startup_cost,False
BRD_20141221,본죽&비빔밥,외식,한식,2023,1003.0,0.013699763562020689,Low,102.154,9221.441579999999,92.21441579999998,0.13232537069801986,False,0.013699763562020689,102154.0,0.07162162162162163,37.89947080409594,37.89947080409594,56.84920620614391,56.84920620614391,75.79894160819188,75.79894160819188,disclosed_startup_cost,False
BRD_20150218,푸라닭,외식,치킨,2023,714.0,0.01369983233781161,Low,75.78,4869.622799999999,48.69622799999999,0.0698778641689914,False,0.01369983233781161,75780.0,0.08243243243243244,20.01390477251541,20.01390477251541,30.02085715877312,30.02085715877312,40.02780954503082,40.02780954503082,disclosed_startup_cost,False
BRD_20200239,인쌩맥주,외식,주점,2023,213.0,0.05882856930172344,Low,124.4,2384.748,23.84748,0.03422053486797251,False,0.05882856930172344,124400.0,0.504054054054054,42.08739389554392,42.08739389554392,63.131090843315874,63.131090843315874,84.17478779108784,84.17478779108784,disclosed_startup_cost,False
BRD_20181340,보배반점,외식,중식,2023,169.0,0.013699826835748337,Low,150.205,2284.61805,22.8461805,0.032783695233217246,False,0.013699826835748337,150205.0,0.07972972972972973,9.389661501247511,9.389661501247511,14.084492251871266,14.084492251871266,18.779323002495023,18.779323002495023,disclosed_startup_cost,False
BRD_20080200033,조마루감자탕,외식,한식,2023,162.0,0.01369963151250212,Low,154.478,2252.28924,22.5228924,0.032319784929132685,False,0.01369963151250212,154478.0,0.05675675675675676,9.256659794272036,9.256659794272036,13.884989691408054,13.884989691408054,18.51331958854407,18.51331958854407,disclosed_startup_cost,False
BRD_20200543,목구멍,외식,한식,2023,149.0,0.021279266996400245,Low,130.82,1754.2961999999998,17.542962,0.02517370987662079,False,0.021279266996400245,130820.0,0.22837837837837838,11.199041169171107,11.199041169171107,16.798561753756662,16.798561753756662,22.398082338342213,22.398082338342213,disclosed_startup_cost,False
BRD_20171308,교동면옥,외식,한식,2023,54.0,0.013700660398334306,Low,342.35,1663.8210000000001,16.63821,0.023875413479564674,False,0.013700660398334306,342350.0,0.1608108108108108,6.838633945385095,6.838633945385095,10.257950918077643,10.257950918077643,13.67726789077019,13.67726789077019,disclosed_startup_cost,False
BRD_20211005,하이오커피,외식,커피,2023,249.0,0.16279849684910913,Medium,71.1,1593.3509999999997,15.933509999999997,0.02286418667818103,False,0.16279849684910913,71100.0,0.8081081081081081,77.81854432590745,77.81854432590745,116.72781648886118,116.72781648886118,155.6370886518149,155.6370886518149,disclosed_startup_cost,False
