is_new_brand,model,lift_at_10,precision_at_10,pr_auc,roc_auc,brier,n,base_rate
False,persistence,1.1610085368274767,0.1095890410958904,0.14381959745256587,0.5873286921493935,0.10017183099139608,731,0.09439124487004104
False,single,1.8866388723446494,0.1780821917808219,0.1497591578063335,0.6305770830596786,0.20701043962800533,731,0.09439124487004104
False,logistic,2.6122692078618224,0.2465753424657534,0.2253173026350579,0.765904811944481,0.1263407531828762,731,0.09439124487004104
False,lgbm,2.031764939448084,0.1917808219178082,0.17323639095596455,0.6998226717456981,0.08965522681115828,731,0.09439124487004104
True,persistence,1.0050000000000001,0.15,0.2123682487264629,0.6381091617933723,0.12636193559734832,201,0.14925373134328357
True,single,1.0050000000000001,0.15,0.21791921335253128,0.6357699805068225,0.21482693845239337,201,0.14925373134328357
True,logistic,2.0100000000000002,0.3,0.301272695059924,0.6691033138401559,0.23087208039278262,201,0.14925373134328357
True,lgbm,2.0100000000000002,0.3,0.281393815891803,0.7018518518518518,0.1253302182707476,201,0.14925373134328357
