year,count,mean,양성률
2018,482,0.08921161825726141,8.9
2019,533,0.0900562851782364,9.0
2020,557,0.09515260323159784,9.5
2021,634,0.07886435331230283,7.9
2022,689,0.11756168359941944,11.8
2023,740,0.08108108108108109,8.1
