feature,group,n,n_missing,missing_rate,mean,std,min,p50,max
f_lvl_n_stores,lvl,11940,0,0.0,81.85108458961474,149.8740647925782,0.0,37.0,1186.2499999999993
f_lvl_avg_sales_log,lvl,11940,2484,0.20804020100502513,12.260428832942393,0.7963493145904236,9.408158096068815,12.313044105275814,13.985231263688648
f_lvl_direct_ratio,lvl,11940,11940,1.0,,,,,
f_lvl_brand_age,lvl,11940,0,0.0,4.11641541038526,2.3416995169794528,1.0,4.0,9.0
f_chg_store_growth,chg,11940,3159,0.26457286432160804,0.4017153633852303,1.88405413594979,-1.0,0.0,20.67999999999995
f_chg_sales_growth,chg,11940,4567,0.3824958123953099,0.026583958529014504,0.38876361384553193,-0.7169938303010056,-0.020111101736686177,3.523723274830101
f_chg_contract_end_rate,chg,11940,3159,0.26457286432160804,0.19074296008602515,0.17186334060990388,0.0,0.15151515151515152,1.0
f_chg_new_open_rate,chg,11940,3159,0.26457286432160804,0.6232617531558969,1.9320238417635047,0.0,0.13005780346820808,20.67999999999995
f_chg_name_change_rate,chg,11940,3159,0.26457286432160804,0.0597991384553787,0.07765530732247904,0.0,0.04,0.6628571428571246
f_trd_store_growth_mean,trd,11940,4707,0.39422110552763817,0.4403458031430329,1.5477055226107381,-0.6576923076923077,0.009213675891472706,13.392514245014244
f_trd_store_growth_std,trd,11940,4707,0.39422110552763817,0.7035052053667399,2.0591321502977067,0.00015518940684616512,0.13565076470951956,20.01313831019941
f_trd_store_growth_slope,trd,11940,4707,0.39422110552763817,-0.683463835372189,2.5302683147474174,-23.936740740740735,-0.06191963898290377,2.285027379400276
f_trd_sales_growth_mean,trd,11940,6049,0.5066164154103853,0.05455172936267356,0.37395775289612476,-0.4854151519829423,-0.0035873929718515107,4.467027091945788
f_trd_sales_growth_std,trd,11940,6049,0.5066164154103853,0.288478126912797,0.5881485139945819,0.0011479055352565212,0.14624099223405382,6.627905694094715
f_trd_sales_growth_slope,trd,11940,6049,0.5066164154103853,-0.007897336048649525,0.39873897142817016,-3.0575493269341583,0.00016059651587008777,2.546353568951066
f_ind_store_growth_pct,ind,11940,3159,0.26457286432160804,0.5052750136616221,0.2885240290919813,0.016127533783783784,0.5068493150684932,1.0
f_ind_real_sales_growth_pct,ind,11940,4567,0.3824958123953099,0.5062980401269622,0.28859792153620106,0.01576271186440678,0.5063291139240507,1.0
f_ind_contract_end_pct,ind,11940,3159,0.26457286432160804,0.5053163676006006,0.2882369227781115,0.026877667140825037,0.5056179775280899,1.0
f_ind_major_외식,ind,11940,0,0.0,1.0,0.0,1.0,1.0,1.0
f_struct_direct_ratio_chg,struct,11940,11940,1.0,,,,,
f_struct_direct_growth,struct,11940,11940,1.0,,,,,
f_struct_open_close_gap,struct,11940,3159,0.26457286432160804,0.4287550445349974,1.9017037644730648,-0.7303519061583578,0.0,20.67999999999995
