scope,model,train_years,valid_year,lift_at_10,precision_at_10,pr_auc,roc_auc,brier,n,base_rate
fold_test_2021,persistence,2018~2019,2020,1.8142857142857143,0.14285714285714285,0.12658537298645917,0.544119658119658,0.09430514553562015,635,0.07874015748031496
fold_test_2021,single,2018~2019,2020,2.419047619047619,0.19047619047619047,0.17457628182063836,0.6270769230769231,0.22872492041252376,635,0.07874015748031496
fold_test_2021,logistic,2018~2019,2020,2.419047619047619,0.19047619047619047,0.1987168909889069,0.6452649572649573,0.18823716326431097,635,0.07874015748031496
fold_test_2021,lgbm,2018~2019,2020,2.419047619047619,0.19047619047619047,0.14199550651087572,0.685059829059829,0.0850248266150911,635,0.07874015748031496
fold_test_2022,persistence,2018~2020,2021,1.8518518518518519,0.21739130434782608,0.20558833479286603,0.5467777575057269,0.11522777022437433,690,0.11739130434782609
fold_test_2022,single,2018~2020,2021,2.716049382716049,0.3188405797101449,0.27459678961726924,0.7064302945529,0.22256743511630311,690,0.11739130434782609
fold_test_2022,logistic,2018~2020,2021,3.0864197530864197,0.36231884057971014,0.30581570941340375,0.7533094123132437,0.26757707536317576,690,0.11739130434782609
fold_test_2022,lgbm,2018~2020,2021,2.3456790123456788,0.2753623188405797,0.2466074422702439,0.7358754485191267,0.18776433532733885,690,0.11739130434782609
fold_test_2023,persistence,2018~2021,2022,1.502027027027027,0.12162162162162163,0.11819623752003884,0.5465491923641704,0.09608924865128805,741,0.08097165991902834
fold_test_2023,single,2018~2021,2022,2.1695945945945945,0.17567567567567569,0.14105637279588257,0.6373715124816446,0.23151444821220574,741,0.08097165991902834
fold_test_2023,logistic,2018~2021,2022,2.002702702702703,0.16216216216216217,0.1728743734640903,0.7376896720509055,0.19479175160331563,741,0.08097165991902834
fold_test_2023,lgbm,2018~2021,2022,2.3364864864864865,0.1891891891891892,0.20087144358431921,0.7348751835535977,0.16283046663083559,741,0.08097165991902834
pooled_oos,persistence,expanding,-1,1.6802724546332535,0.1553398058252427,0.1462162947478064,0.5465116928446772,0.1019327503003589,2066,0.09244917715392062
pooled_oos,single,expanding,-1,2.57291719615717,0.23786407766990292,0.1923016325865461,0.664369982547993,0.22766895489711816,2066,0.09244917715392062
pooled_oos,logistic,expanding,-1,2.4679001677425916,0.22815533980582525,0.21856138890707427,0.7210610820244328,0.21708589961833766,2066,0.09244917715392062
pooled_oos,lgbm,expanding,-1,2.5204086819498808,0.23300970873786409,0.19139752247476155,0.6910855148342059,0.1472437231606466,2066,0.09244917715392062
