brand_id,brand_name,n_stores,exposure_mkrw,exposure_share,el_mkrw,es99_mkrw,ul_contrib_mkrw,ul_share,concentration_ratio
BRD_20090100502,빽다방,1449,10024.87752,0.15054422621177166,61.55637498593563,650.2596330240001,588.7032580380644,0.3564825730685446,2.3679591176554187
BRD_20141221,본죽&비빔밥,1003,9221.44158,0.13847897736890827,56.86785334269121,551.7626125050002,494.894759162309,0.29967790178750897,2.164067842508444
BRD_20211005,하이오커피,249,1593.3509999999997,0.023927453766911713,116.67085692975141,187.35792074999992,70.68706382024851,0.042803748831424536,1.7888969402425958
BRD_20200239,인쌩맥주,213,2384.748,0.03581191307862184,63.29389895999831,132.91023510000005,69.61633614000175,0.04215538184296564,1.1771329208360717
BRD_20090100259,육쌈냉면,83,1703.3094,0.025578706085003327,68.80487538600461,122.51822427000009,53.71334888399548,0.03252550849150742,1.2715853719659795
BRD_20130325,인생극장,145,1303.695,0.019577671108659656,95.64929246251336,148.9880628,53.338770337486636,0.03229868670607895,1.6497716468325234
BRD_20220831,노모어피자,96,1241.8271999999995,0.01864859840329809,91.10627415877713,135.43871935500007,44.33244519622295,0.026845008785305477,1.4395188423682186
BRD_20160600,주식회사포차천국,150,1171.935,0.01759902277045402,53.79012891359687,81.09907393499991,27.30894502140304,0.016536621559494955,0.9396329429868875
BRD_20200638,천씨씨커피,99,686.07,0.010302757023320739,72.44935062749943,92.45728800000005,20.00793737250062,0.012115579282019439,1.1759550627657527
BRD_20190227,롤링파스타,126,1331.97372,0.02000233445363979,29.317241067348196,47.487241642499974,18.17000057515178,0.011002637524503445,0.5500676708513548
BRD_20130505,오븐마루,116,607.6080000000001,0.009124488156348285,44.44788184200001,58.97464199999999,14.52676015799998,0.008796514659578487,0.9640556827791362
BRD_20210315,소림마라,183,1299.483,0.01951441923555308,28.4292156509974,42.855777675000006,14.426562024002607,0.008735840817305066,0.4476608149008783
BRD_20181340,보배반점,169,2465.61705,0.037026328769231794,15.233388202013362,27.4887122175,12.25532401548664,0.007421072296064865,0.20042690006662614
BRD_20080200033,조마루감자탕,162,2252.28924,0.03382277141685211,13.937728889429964,25.15369135949999,11.215962470070027,0.006791698714383997,0.20080254898923067
BRD_20191312,언양닭칼국수,58,758.3355,0.011387972653896022,30.63295271643433,40.703004225000015,10.070051508565687,0.006097805343679898,0.5354601322820822
BRD_20160063,엉터리생고기 두번째이야기 무한삼겹,33,354.618,0.005325321162703446,72.23145536249956,81.75717989999997,9.525724537500409,0.005768194327286626,1.0831636536186582
BRD_20080200076,빚은,35,558.3375,0.008384589909933888,41.007500488118104,50.19653531249994,9.189034824381835,0.005564315694682798,0.6636359982365162
BRD_20141134,라무진,136,1024.488,0.015384801750998902,22.53494313450019,31.256111924999995,8.721168790499807,0.005281004730572495,0.34326114928517754
BRD_20170185,제주스,34,417.078,0.006263286973300926,44.187117104244,52.656710849999996,8.469593745755994,0.005128666318909908,0.8188458138310336
BRD_20200543,목구멍,149,1754.2961999999998,0.026344378118172897,16.695719351999387,25.163848394999977,8.46812904300059,0.0051277793847883495,0.194644161338206
BRD_20080100650,올떡,74,467.0324999999999,0.007013456891416388,34.20958943531222,42.130907156250004,7.921317720937786,0.004796663997858798,0.6839229316044313
BRD_20080100487,부어치킨,229,924.3584999999998,0.013881150652180128,20.072567940750577,27.481602037499968,7.409034096749391,0.004486456466308581,0.3232049401901674
BRD_20100500044,화화돼지왕갈비,64,658.2528,0.009885024353667324,26.52760841039808,33.59017755000002,7.0625691396019405,0.004276658545682804,0.43264016280305595
BRD_20150426,백스비어,79,569.3687999999999,0.008550247646828601,22.988247282000376,29.44699757999997,6.458750297999593,0.003911022902627207,0.45741633040042484
BRD_20161160,수내닭꼬치,110,524.1059999999999,0.007870533287367962,21.16480107239891,27.554515605000013,6.389714532601104,0.003869219078804274,0.49160824781902496
BRD_20080100287,퀴즈노스서브,82,1176.2613,0.017663991093963268,11.252388144148885,17.338378454999994,6.085990310851109,0.0036853023251693234,0.2086336154476883
BRD_20161275,한옥마을,47,458.3205,0.006882628230802793,33.57353198924193,39.254419462500046,5.680887473258117,0.0034399969018839285,0.49980861765690426
BRD_20171308,교동면옥,54,1663.821,0.024985706259271698,10.194092615250486,15.63991739999999,5.445824784749503,0.00329765736003865,0.13198175492097428
BRD_20140599,마시그래이,61,344.223,0.0051692187835622235,25.280016448499932,30.432840075000048,5.1528236265001155,0.0031202338357440864,0.6036180642355912
BRD_20200624,찜꽁찜닭,48,266.112,0.003996220906015317,39.9351118319978,44.693094600000016,4.757982768002215,0.002881142437373018,0.7209667596293725
BRD_20210973,피자덕,36,196.14312,0.0029454937647121174,39.91794447734957,43.370921515500015,3.4529770381504434,0.0020909110362472,0.7098677516472552
BRD_20191447,베스트생갈비찜&찜닭,54,388.8,0.005838634440606794,15.652358999999505,18.689939999999986,3.037581000000481,0.0018393726822457633,0.3150347398791081
BRD_20190218,택이네 조개전골,81,793.881,0.011921761698413996,7.589458255499725,10.362352275000005,2.7728940195002796,0.0016790944867743963,0.1408428157893622
BRD_20190293,냠냠숯불두마리치킨,80,331.92,0.004984463846518022,13.398314874751382,16.091170424999998,2.6928555502486162,0.001630628100570949,0.32714212617071153
BRD_20150488,개성집,21,193.34699999999995,0.0029035042520267527,15.745005787500352,18.393514425000003,2.648508637499651,0.001603774331123362,0.5523581823597705
BRD_20191199,윤검푸드 봉수아피자,58,292.842,0.004397627023807033,11.859760192498777,14.019684525000013,2.1599243325012356,0.0013079176531984032,0.29741441148097564
BRD_20160331,장혁민의 부대찌개,31,269.514,0.004047308957370626,7.105343206500332,9.240852599999995,2.135509393499663,0.001293133464122233,0.31950450972300615
BRD_20180804,미스터빠삭,75,600.0749999999999,0.009011364614061526,5.7410075362498345,7.865183024999999,2.124175488750165,0.001286270346799798,0.14273868630203623
BRD_20190794,족발신선생,79,651.6315,0.00978559186852949,6.201475941375165,8.2699461,2.0684701586248355,0.0012525386166869232,0.12799824819131211
BRD_20190092,샐러데이즈(Salad Days),36,211.896,0.0031820557701307023,8.506909251000357,10.132601849999991,1.6256925989996347,0.0009844196932784907,0.3093659459142842
BRD_20190770,지랄닭발,32,167.90399999999997,0.0025214250954620444,12.251629566000025,13.874117399999994,1.622487833999969,0.0009824790842236535,0.38965229861155837
BRD_20212154,부뚜막김치찜,76,175.44599999999997,0.002634683791323815,12.847039698374891,14.337343237499995,1.4903035391251045,0.0009024363854397507,0.3425217054173758
BRD_201001002121,대구반야월막창,103,647.9730000000001,0.009730651940286281,6.247057365000412,7.703014950000003,1.4559575849995907,0.0008816385829238255,0.09060426663435742
BRD_20130247,이웃집소녀떡볶이,26,206.856,0.0031063697681228365,8.384452478999057,9.722033100000006,1.3375806210009493,0.0008099567565671764,0.2607406126852146
BRD_20214774,킹치찌개찜,63,107.4465,0.00161353095530519,21.873367514254387,23.209211474999996,1.3358439607456098,0.00080890514166966,0.5013260755921849
BRD_20080200030,굽네치킨,1118,8378.6274,0.12582238298007137,1.1038316998500048,2.1465548775,1.042723177649995,0.0006314091799078257,0.0050182579995153385
BRD_20150253,카페게이트,135,883.6695,0.013270121339541627,5.46495092797554,6.480242999999998,1.015292072024458,0.0006147985853816541,0.046329537586797254
BRD_20191330,광명대창집,50,450.675,0.006767815268828361,4.354886045250236,5.349962924999999,0.9950768797497629,0.0006025575052470293,0.08903279438230642
BRD_20171499,양계장집아들,41,236.8242,0.0035564041422046075,9.554990040000114,10.401058935000012,0.8460688949998989,0.0005123274120954887,0.14405770312085456
BRD_20150218,푸라닭,714,494.802,0.00743047324712223,3.045826475999693,3.8133018000000023,0.7674753240003094,0.00046473596762149283,0.06254459873083883
BRD_20110600016,달구지막창,22,110.682,0.0016621186655227395,4.4570723242497925,5.195765250000002,0.7386929257502093,0.00044730711319069936,0.2691186390413469
BRD_20200798,명가통닭,74,156.50999999999996,0.002350320669494262,3.437145191250163,4.157243999999995,0.7200988087498321,0.0004360476567808226,0.1855268782853578
BRD_20090100037,종로김밥,48,216.0,0.0032436858003371074,4.73849999999992,5.438137499999998,0.6996375000000778,0.00042365754360942465,0.13060992022266615
BRD_20160534,킹콩쥬스엔커피,21,101.9088,0.0015303709605990474,4.110786255599824,4.711462200000005,0.600675944400181,0.00036373249734301504,0.23767603196066647
BRD_20080200075,명동칼국수샤브샤브,38,395.01,0.005931890407366486,2.432219501250065,3.0241653749999995,0.5919458737499346,0.0003584461021923553,0.060426959632838284
BRD_20220529,하르당,38,252.054,0.0037851110218433764,2.4120423607501325,2.9296302750000005,0.517587914249868,0.000313419484165729,0.08280324734387617
BRD_20100100052,붐비어,27,117.61199999999998,0.0017661869182835548,2.5736641920001797,2.8883546999999963,0.31469050799981657,0.00019055726374928364,0.10789190078164217
BRD_20151089,떼루와,16,101.592,0.001525613554758553,2.228660213624993,2.487257887499999,0.258597673875006,0.00015659088498970385,0.10264125177786997
BRD_20201288,밥스토랑,428,228.231,0.003427359508781196,2.180283677437548,2.4281805374999994,0.24789686006245137,0.00015011112869526825,0.0437978940670421
BRD_20080400017,조선CH.S치킨,23,23.805,0.00035748120591215206,0.5232701249999918,0.6222420000000001,0.09897187500000826,5.9931295061968313e-05,0.1676487996314299
