state,n_events_at_t,n,n_deteriorated,rate,ci_low,ci_high
건전,0,3657,342,0.09351927809680066,0.0845045278128746,0.10338709944220895
요주의,1,1218,293,0.24055829228243022,0.2173939602414197,0.26535398922659204
요주의,2,536,246,0.458955223880597,0.41721072957780153,0.5012838593777784
요주의,3,125,81,0.648,0.5610025545352819,0.7261720889270534
