comparison,mean_delta_lift,ci_lo,ci_hi,p_win,n_boot
lgbm - persistence,0.7270390628036486,-0.17906577821082523,1.6422435755427562,0.88,200
lgbm - single,0.22784455415706542,-0.7162631128433016,1.2767229729729734,0.61,200
lgbm - logistic,0.3513063820618009,-0.759661547911548,1.3951920727237181,0.675,200
