state,n_events_at_t,n_sib_ok,rate_sib_ok,ci_lo_sib_ok,ci_hi_sib_ok,n_sib_bad,rate_sib_bad,ci_lo_sib_bad,ci_hi_sib_bad,delta,fisher_p
건전,0,1311,0.09687261632341723,0.08201935941373914,0.11408143820786683,453,0.11258278145695365,0.08667350957746815,0.14500743088252607,0.015710165133536416,0.36547627924446435
요주의,1,463,0.22894168466522677,0.19299423515788267,0.26935000343210763,262,0.3282442748091603,0.27422462254686947,0.3872277318027823,0.09930259014393353,0.0049676855442891375
요주의,2,222,0.4594594594594595,0.3951497724265359,0.5251482982023338,151,0.5894039735099338,0.5096690831978822,0.6647028208492497,0.1299445140504743,0.01533408050246898
요주의,3,37,0.6486486486486487,0.4875902312255084,0.7817439286607288,48,0.7083333333333334,0.5682074019042831,0.8175842107348348,0.059684684684684686,0.6408367445675212
