model,split,lift_at_10,lift_at_10_lo,lift_at_10_hi,precision_at_10,precision_at_10_lo,precision_at_10_hi,pr_auc,pr_auc_lo,pr_auc_hi,roc_auc,roc_auc_lo,roc_auc_hi,brier,brier_lo,brier_hi,n_boot
persistence,test,1.5,0.7543675751222921,2.4572368421052633,0.12162162162162163,0.05405405405405406,0.21621621621621623,0.11558358905727772,0.08234076616518665,0.18563074552779196,0.5451470588235294,0.45937309323964876,0.6157614039026932,0.09633092546623906,0.08778260394846994,0.1080624760411039,200
single,test,2.1666666666666665,1.1764705882352942,3.032976827094475,0.17567567567567569,0.0945945945945946,0.25675675675675674,0.1405634981083344,0.10064198982926982,0.21255158458668016,0.6366789215686275,0.5565295790639969,0.7075996391715673,0.23189198793669294,0.22117899919905687,0.24380256288279661,200
logistic,test,1.8333333333333333,0.9255050505050505,2.732620320855616,0.14864864864864866,0.06756756756756757,0.24358108108108117,0.16155456940066815,0.11674766310946533,0.24216339794354008,0.7262254901960785,0.6492731631063586,0.7822547961634173,0.1948850788578142,0.18078850194047627,0.2107226181314106,200
lgbm,test,2.6666666666666665,1.6416553595658074,3.5294117647058822,0.21621621621621623,0.12162162162162163,0.2972972972972973,0.1705191835365865,0.120801222265138,0.25121491546530544,0.7230637254901962,0.666402454128387,0.7821650208488619,0.08089356495809846,0.07215910751446562,0.09248115761378882,200
lgbm_calibrated,test,2.6666666666666665,1.6416553595658074,3.5294117647058822,0.21621621621621623,0.12162162162162163,0.2972972972972973,0.1705191835365865,0.120801222265138,0.25121491546530544,0.7230637254901962,0.666402454128387,0.7821650208488619,0.07495670478360913,0.06499612740955966,0.08974976372083299,200
