stage,n_features,lift_at_10,precision_at_10,pr_auc,roc_auc
lvl,7,2.2630630630630635,0.2,0.15477784162465905,0.657913371887171
lvl+chg,13,2.5346306306306308,0.224,0.1891484714471404,0.7056139108540855
lvl+chg+trd,22,2.6251531531531533,0.232,0.19066606911815015,0.7036783508399229
lvl+chg+trd+ind+struct,38,2.0820180180180183,0.184,0.16842628543046878,0.6882882882882883
