단계,행수,브랜드수,연도범위,매출보유율%
① 전체(정합 후),76717,20626,2016~2024,39.8
"② 업종 필터(외식,도소매,서비스)",76717,20626,2016~2024,39.8
③ +실시간 자격(점포20+ 누적 & 3년연속 종료),13803,3350,2018~2024,89.0
