year,count,mean,양성률
2018,924,0.11363636363636363,11.4
2019,964,0.10995850622406639,11.0
2020,1008,0.11011904761904762,11.0
2021,1075,0.08837209302325581,8.8
2022,1179,0.11704834605597965,11.7
2023,1256,0.08837579617834394,8.8
