model,fold_test_year,row_share,top_k_share,bias_ratio
persistence,2021,0.3063,0.3219,1.051
persistence,2022,0.3359,0.3618,1.077
persistence,2023,0.3578,0.3162,0.884
single,2021,0.3063,0.3105,1.014
single,2022,0.3359,0.3704,1.103
single,2023,0.3578,0.3191,0.892
logistic,2021,0.3063,0.1823,0.595
logistic,2022,0.3359,0.5185,1.544
logistic,2023,0.3578,0.2991,0.836
lgbm,2021,0.3063,0.4274,1.395
lgbm,2022,0.3359,0.0,0.0
lgbm,2023,0.3578,0.5726,1.6
