model,split,lift_at_10,lift_at_10_lo,lift_at_10_hi,precision_at_10,precision_at_10_lo,precision_at_10_hi,pr_auc,pr_auc_lo,pr_auc_hi,roc_auc,roc_auc_lo,roc_auc_hi,brier,brier_lo,brier_hi,n_boot
persistence,test,1.1767927927927928,0.5965203502168399,1.8893675213675214,0.104,0.048,0.176,0.10104186725244862,0.07789028891093396,0.14334545104395477,0.508017624611511,0.4519259778037986,0.5706152758132956,0.10139750809195965,0.09202212979879876,0.1086529216826363,200
single,test,1.6294054054054055,0.9866930313588851,2.192290909090909,0.144,0.088,0.2,0.13744459754891852,0.0940261999886316,0.18859882295728797,0.5669027105708329,0.506850560120181,0.6273024820943215,0.23823393508618135,0.22811241317573483,0.24677644202341598,200
logistic,test,2.2630630630630635,1.6221244641537325,3.0627924186704387,0.2,0.128,0.28,0.17202935419467694,0.12841686368465555,0.22752641029736662,0.7030252960383965,0.6634902232906634,0.7466405628816534,0.19183522876906797,0.18343883149589782,0.20149452113145136,200
lgbm,test,2.0820180180180183,1.4221608008124185,2.7778363143631437,0.184,0.1278,0.256,0.16842628543046878,0.1305465378776701,0.23136510376995506,0.6882882882882883,0.6433328037267713,0.7332314175071917,0.18954159865110648,0.18152084664964635,0.19858545197554314,200
lgbm_calibrated,test,2.0820180180180183,1.4221608008124185,2.7778363143631437,0.184,0.1278,0.256,0.16842628543046878,0.1305465378776701,0.23136510376995506,0.6882882882882883,0.6433328037267713,0.7332314175071917,0.08042410477699861,0.06865917943677319,0.09037541027892099,200
