series,bin,mean_pred,frac_pos,count
raw,0,0.10681864069729875,0.007936507936507936,126
raw,1,0.1857459613952497,0.0,126
raw,2,0.2503019505036483,0.07142857142857142,126
raw,3,0.3138243887139949,0.04,125
raw,4,0.36717994779107266,0.09523809523809523,126
raw,5,0.4249288845927739,0.09523809523809523,126
raw,6,0.48541736930606677,0.08,125
raw,7,0.5363463229489033,0.15079365079365079,126
raw,8,0.5931082065983829,0.15873015873015872,126
raw,9,0.6759506250649648,0.19047619047619047,126
calibrated,0,0.006635700864266288,0.007936507936507936,126
calibrated,1,0.01667628529571354,0.0,126
calibrated,2,0.03030551127545982,0.07142857142857142,126
calibrated,3,0.03371067250802763,0.04,125
calibrated,4,0.05211157128620871,0.09523809523809523,126
calibrated,5,0.0960085843773392,0.09523809523809523,126
calibrated,6,0.12328391830377941,0.08,125
calibrated,7,0.14074805178304323,0.15079365079365079,126
calibrated,8,0.23976847698248344,0.15873015873015872,126
calibrated,9,0.30714299346083485,0.19047619047619047,126
