brand_id,brand_name,industry_major,industry_mid,year,n_stores,deterioration_1y,risk_grade,startup_cost_mkrw,exposure_mkrw,exposure_ekw,exposure_share,is_stressed,det_stressed,startup_total,deterioration_rank_pct,el_lgd30_mkrw,stress_el_lgd30_mkrw,el_lgd45_mkrw,stress_el_lgd45_mkrw,el_lgd60_mkrw,stress_el_lgd60_mkrw,exposure_basis,exposure_is_synthetic
BRD_20200564,롯데프레시(LOTTE FRESH),도소매,종합소매점,2023,135.0,0.017966257307426983,Low,599.808,7287.667199999999,72.87667199999999,0.15104975915968497,False,0.017966257307426983,599808.0,0.21019108280254778,39.27963122582877,39.27963122582877,58.919446838743156,58.919446838743156,78.55926245165755,78.55926245165755,disclosed_startup_cost,False
BRD_20150811,디저트39,외식,커피,2023,529.0,0.11795436577887718,Low,151.8,7227.198000000001,72.27198000000001,0.14979642831376236,False,0.11795436577887718,151800.0,0.5692675159235668,255.74386693451092,255.74386693451092,383.6158004017664,383.6158004017664,511.48773386902184,511.48773386902184,disclosed_startup_cost,False
BRD_20080100328,죽이야기,외식,한식,2023,346.0,0.029538851241781502,Low,85.49,2662.1585999999998,26.621585999999997,0.055177933396146864,False,0.029538851241781502,85490.0,0.2961783439490446,23.591132060228787,23.591132060228787,35.38669809034318,35.38669809034318,47.182264120457575,47.182264120457575,disclosed_startup_cost,False
BRD_20190630,배떡,외식,분식,2023,418.0,0.11795502297525556,Low,68.3,2569.446,25.69446,0.053256301203465486,False,0.11795502297525556,68300.0,0.6377388535031847,90.92371858910354,90.92371858910354,136.38557788365532,136.38557788365532,181.8474371782071,181.8474371782071,disclosed_startup_cost,False
BRD_20080100639,오피스디포(Office DEPOT),도소매,기타도소매,2023,118.0,0.00030019356852950356,Low,221.05,2347.551,23.47551,0.0486571358753975,False,0.00030019356852950356,221050.0,0.013535031847133758,0.21141591359850137,0.21141591359850137,0.3171238703977521,0.3171238703977521,0.42283182719700274,0.42283182719700274,disclosed_startup_cost,False
BRD_20080200033,조마루감자탕,외식,한식,2023,162.0,0.017965473667089796,Low,154.478,2252.28924,22.5228924,0.046682667844649924,False,0.017965473667089796,154478.0,0.1265923566878981,12.139032909566906,12.139032909566906,18.20854936435036,18.20854936435036,24.27806581913381,24.27806581913381,disclosed_startup_cost,False
BRD_20180649,어라운드스터디카페(A.round study cafe),서비스,기타 서비스,2023,122.0,0.31250928972837966,High,173.8,1908.324,19.08324,0.039553381444016364,True,0.4687639345925695,173800.0,0.9426751592356688,178.91069334348612,268.3660400152292,268.3660400152292,402.5490600228438,357.82138668697223,536.7320800304584,disclosed_startup_cost,False
NAME:카페베네@외식,카페베네,외식,음료 (커피 외),2023,119.0,0.31250954886044335,High,175.5,1879.6049999999998,18.796049999999997,0.0389581295047803,True,0.46876432329066503,175500.0,0.9657643312101911,176.21835317575008,264.3275297636251,264.32752976362514,396.4912946454377,352.43670635150016,528.6550595272502,disclosed_startup_cost,False
BRD_20090100419,이가자헤어비스,서비스,이미용,2023,114.0,0.029539441313589182,Low,169.6,1740.0959999999995,17.400959999999994,0.03606655936686175,False,0.029539441313589182,169600.0,0.3646496815286624,15.42043910160338,15.42043910160338,23.13065865240507,23.13065865240507,30.84087820320676,30.84087820320676,disclosed_startup_cost,False
BRD_20090100195,국수나무,외식,분식,2023,255.0,0.00030039025913206367,Low,72.03,1653.0885,16.530885,0.034263175436255504,False,0.00030039025913206367,72030.0,0.026273885350318472,0.14897150486497032,0.14897150486497032,0.2234572572974555,0.2234572572974555,0.29794300972994064,0.29794300972994064,disclosed_startup_cost,False
