feature,group,n,n_missing,missing_rate,mean,std,min,p50,max
f_lvl_n_stores,lvl,76717,558,0.007273485668104853,22.174788797121806,66.59251519113718,0.0,2.0,747.9499999999998
f_lvl_avg_sales_log,lvl,76717,46210,0.6023436787152783,12.223590963149253,0.9499665255615017,8.979565668699811,12.321898211035764,14.454560776709638
f_lvl_direct_ratio,lvl,76717,25467,0.3319603217018392,0.2509927381850947,0.3740741566732926,0.0,0.01694915254237288,1.0
f_lvl_brand_age,lvl,76717,0,0.0,3.1920695543360664,2.1210341458878097,1.0,3.0,9.0
f_lvl_sales_per_area_log,lvl,76717,46878,0.6110510056441206,9.00887415590113,0.9025382604876879,5.687569089271695,9.135185698375423,11.0413711488944
f_lvl_biz_age,lvl,76717,23463,0.30583834091531215,4.628685169189169,5.4574379957028505,0.0,3.0,30.0
f_lvl_emp_cnt_log,lvl,76717,204,0.002659123792640484,1.4096383344972052,1.5332205402751067,0.0,1.0986122886681098,7.411280024497837
f_chg_store_growth,chg,76717,44122,0.5751267646023698,0.2605079259885312,1.127514427164675,-1.0,0.0,9.163333333333261
f_chg_sales_growth,chg,76717,56012,0.730111969967543,0.061680192319095356,0.573977977830226,-0.7999102755859944,-0.017404105667784386,6.064346284139125
f_chg_contract_end_rate,chg,76717,43722,0.569912796381506,0.19096983964512346,0.23432021899513475,0.0,0.12,1.0
f_chg_new_open_rate,chg,76717,43722,0.569912796381506,0.46205385428279666,1.1177691477586555,0.0,0.1,9.911428571428587
f_chg_name_change_rate,chg,76717,43722,0.569912796381506,0.04197762032588921,0.08633254924023062,0.0,0.0,0.5127777777777788
f_chg_sales_per_area_growth,chg,76717,56542,0.7370204778601874,0.10589527497660907,0.8092283717673302,-0.8693746347165401,-0.021335747074416544,8.764077454056482
f_trd_store_growth_mean,trd,76717,53412,0.696221176531929,0.274816161074784,0.875749632539511,-0.75,0.01017871017871018,6.112307692307695
f_trd_store_growth_std,trd,76717,53412,0.696221176531929,0.5220855177544496,1.0707305937201723,0.0,0.19026259844241944,8.845198725862534
f_trd_store_growth_slope,trd,76717,53412,0.696221176531929,-0.41728771670490283,1.274536982319798,-9.791837889767518,-0.06666666666666662,1.6934285714285637
f_trd_sales_growth_mean,trd,76717,62103,0.809507671050745,0.09009292324984056,0.4834289887311668,-0.4565346480706669,0.003630054023216385,4.510991678583489
f_trd_sales_growth_std,trd,76717,62103,0.809507671050745,0.3584549668050543,0.776027369179331,0.0017315368439300561,0.16990926956318708,7.471495588237662
f_trd_sales_growth_slope,trd,76717,62103,0.809507671050745,-0.02987903790784225,0.6176450899325634,-6.992031426370781,-0.0028781346379315497,4.8778313625961625
f_trd_sales_per_area_mean,trd,76717,62506,0.8147607440332651,0.13107999518061927,0.602630444310037,-0.48852940312839377,0.006737973086808495,5.277084854400179
f_trd_sales_per_area_std,trd,76717,62506,0.8147607440332651,0.4525358417554835,0.9376725737238875,0.002182276163385626,0.19617687647007226,7.688712890651666
f_trd_sales_per_area_slope,trd,76717,62506,0.8147607440332651,-0.03851475100139496,0.8344774600819548,-8.577053409817875,-0.0019511289364230072,6.249770499593943
f_ind_store_growth_pct,ind,76717,44122,0.5751267646023698,0.5037821731128909,0.2873565438121043,0.013026052104208416,0.5038560411311054,0.9962244572457921
f_ind_real_sales_growth_pct,ind,76717,56012,0.730111969967543,0.5060139240252861,0.28862116477944283,0.013230235439900867,0.5051546391752577,1.0
f_ind_contract_end_pct,ind,76717,43722,0.569912796381506,0.5037236360988983,0.28323868080775455,0.08333333333333333,0.5015337423312883,0.9950248756218906
f_ind_major_도소매,ind,76717,0,0.0,0.04824224096354133,0.2142790835699695,0.0,0.0,1.0
f_ind_major_서비스,ind,76717,0,0.0,0.16343183388297247,0.3697616147446338,0.0,0.0,1.0
f_ind_major_외식,ind,76717,0,0.0,0.7883259251534862,0.40849765730779763,0.0,1.0,1.0
f_struct_direct_ratio_chg,struct,76717,42337,0.5518594314167655,-0.05676698339592939,0.20332765698631747,-1.0,0.0,0.47161904761904305
f_struct_direct_growth,struct,76717,33216,0.4329679210605211,0.0441573568531664,0.3716587742747739,-0.7047619047619046,0.0,2.574999999999818
f_struct_open_close_gap,struct,76717,43722,0.569912796381506,0.2660266340177728,1.1037650813794604,-1.0,0.0,9.0
f_struct_n_regions,struct,76717,33308,0.43416713375131977,5.796678108226405,4.869603303075306,1.0,4.0,17.0
f_struct_n_regions_chg,struct,76717,46701,0.6087438247063884,0.2914378997867805,1.628627531857038,-4.0,0.0,8.0
f_struct_region_hhi,struct,76717,33308,0.43416713375131977,0.4665781898334632,0.3037746264549291,0.0946109802289282,0.375,1.0
f_struct_region_hhi_chg,struct,76717,46701,0.6087438247063884,-0.023046172601632126,0.14767457258925476,-0.6813252077562327,0.0,0.5
f_struct_top_region_share,struct,76717,33308,0.43416713375131977,0.5615361461672589,0.26843482212209135,0.1619180470793374,0.5,1.0
f_struct_top_region_share_chg,struct,76717,46701,0.6087438247063884,-0.018449220669656426,0.13291888692347562,-0.5714285714285714,0.0,0.5
f_struct_stores_per_region,struct,76717,33577,0.4376735273798506,4.50315471593945,6.3242475995569,0.0,2.6666666666666665,58.91058823529409
