scope,model,train_years,valid_year,lift_at_10,precision_at_10,pr_auc,roc_auc,brier,n,base_rate
fold_test_2021,persistence,2018~2019,2020,1.4819478603049678,0.1308411214953271,0.12216495370843061,0.559069692580074,0.09941103518145152,1076,0.08828996282527882
fold_test_2021,single,2018~2019,2020,1.5878012788981797,0.14018691588785046,0.12869897924013154,0.5925747089436129,0.23658390344759184,1076,0.08828996282527882
fold_test_2021,logistic,2018~2019,2020,2.0112149532710277,0.17757009345794392,0.14921736765007684,0.6530393261441065,0.18515959740990084,1076,0.08828996282527882
fold_test_2021,lgbm,2018~2019,2020,0.8468273487456959,0.07476635514018691,0.1310159745968003,0.6296904340361608,0.11742487069514798,1076,0.08828996282527882
fold_test_2022,persistence,2018~2020,2021,2.101449275362319,0.2457627118644068,0.20834176688296735,0.579351998664775,0.11332327949910896,1180,0.11694915254237288
fold_test_2022,single,2018~2020,2021,2.681159420289855,0.3135593220338983,0.24450691117777065,0.6894072157779076,0.22805902965100616,1180,0.11694915254237288
fold_test_2022,logistic,2018~2020,2021,2.681159420289855,0.3135593220338983,0.27070590368010744,0.7364113049041697,0.23387820250076857,1180,0.11694915254237288
fold_test_2022,lgbm,2018~2020,2021,2.681159420289855,0.3135593220338983,0.21577668931302102,0.684400122395616,0.10178747650936648,1180,0.11694915254237288
fold_test_2023,persistence,2018~2021,2022,1.1681428571428571,0.104,0.10291868792706144,0.5115970144602344,0.10157382540778938,1258,0.0890302066772655
fold_test_2023,single,2018~2021,2022,1.7072857142857143,0.152,0.14020287353306132,0.5706611505858888,0.23768705935696413,1258,0.0890302066772655
fold_test_2023,logistic,2018~2021,2022,2.3362857142857143,0.208,0.1807671755447694,0.706385564697083,0.18925411762929142,1258,0.0890302066772655
fold_test_2023,lgbm,2018~2021,2022,2.0667142857142857,0.184,0.17940437238886603,0.7025445649463973,0.18477654888236306,1258,0.0890302066772655
pooled_oos,persistence,expanding,-1,1.7120938106445351,0.16809116809116809,0.14195231924052412,0.5519155222010327,0.1048570335877033,3514,0.09817871371656232
pooled_oos,single,expanding,-1,2.002279202279202,0.19658119658119658,0.1699069176184432,0.6242855378874148,0.23411617978624275,3514,0.09817871371656232
pooled_oos,logistic,expanding,-1,2.4665758288946695,0.24216524216524216,0.20545380317922,0.7036920164089618,0.20298511261855687,3514,0.09817871371656232
pooled_oos,lgbm,expanding,-1,1.6250381931541351,0.15954415954415954,0.1382785789584241,0.5938727070671039,0.13628550985857837,3514,0.09817871371656232
